rxnavImageFileName,shape,color,shape_label,shape_color,shape_color_label,color_BLACK,color_BLUE,color_BROWN,color_GRAY,color_GREEN,color_ORANGE,color_PINK,color_PURPLE,color_RED,color_TURQUOISE,color_WHITE,color_YELLOW
33342-0031-10_RXNAVIMAGE10_FD3E7E93_1.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0
33342-0031-10_RXNAVIMAGE10_FD3E7E93_2.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0
00007-4471-20_RXNAVIMAGE10_7618BB55_1.jpg,ROUND,RED,10,ROUND_RED,172,0,0,0,0,0,0,0,0,1,0,0,0
00007-4471-20_RXNAVIMAGE10_7618BB55_2.jpg,ROUND,RED,10,ROUND_RED,172,0,0,0,0,0,0,0,0,1,0,0,0
13668-0217-30_RXNAVIMAGE10_D54AEAD7_1.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0
13668-0217-30_RXNAVIMAGE10_D54AEAD7_2.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0
65862-0375-05_RXNAVIMAGE10_744DBA1D_1.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0
65862-0375-05_RXNAVIMAGE10_744DBA1D_2.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0
00378-0069-01_RXNAVIMAGE10_1C078E4C_1.jpg,ROUND,PINK,10,ROUND_PINK,168,0,0,0,0,0,0,1,0,0,0,0,0
00378-0069-01_RXNAVIMAGE10_1C078E4C_2.jpg,ROUND,PINK,10,ROUND_PINK,168,0,0,0,0,0,0,1,0,0,0,0,0
00093-8244-34_RXNAVIMAGE10_FC43FE6F_1.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0
00093-8244-34_RXNAVIMAGE10_FC43FE6F_2.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0
00093-7369-56_RXNAVIMAGE10_B916DCA6_1.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0
00093-7369-56_RXNAVIMAGE10_B916DCA6_2.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0
65162-0762-10_RXNAVIMAGE10_A23CD166_1.jpg,OVAL,PURPLE,7,OVAL_PURPLE,135,0,0,0,0,0,0,0,1,0,0,0,0
