rxnavImageFileName,shape,color,shape_label,shape_color,shape_color_label,color_BLACK,color_BLUE,color_BROWN,color_GRAY,color_GREEN,color_ORANGE,color_PINK,color_PURPLE,color_RED,color_TURQUOISE,color_WHITE,color_YELLOW,NDC11
33342-0031-10_RXNAVIMAGE10_FD3E7E93_1.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0,33342-0031-10
33342-0031-10_RXNAVIMAGE10_FD3E7E93_2.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0,33342-0031-10
13668-0217-30_RXNAVIMAGE10_D54AEAD7_1.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0,13668-0217-30
13668-0217-30_RXNAVIMAGE10_D54AEAD7_2.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0,13668-0217-30
65862-0375-05_RXNAVIMAGE10_744DBA1D_1.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,65862-0375-05
65862-0375-05_RXNAVIMAGE10_744DBA1D_2.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,65862-0375-05
00093-8244-34_RXNAVIMAGE10_FC43FE6F_1.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,00093-8244-34
00093-8244-34_RXNAVIMAGE10_FC43FE6F_2.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,00093-8244-34
00093-7369-56_RXNAVIMAGE10_B916DCA6_1.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,00093-7369-56
00093-7369-56_RXNAVIMAGE10_B916DCA6_2.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,00093-7369-56
00832-2012-00_RXNAVIMAGE10_6039B00D_1.jpg,CAPSULE,RED,1,CAPSULE_RED,69,0,0,0,0,0,0,0,0,1,0,0,0,00832-2012-00
00832-2012-00_RXNAVIMAGE10_6039B00D_2.jpg,CAPSULE,RED,1,CAPSULE_RED,69,0,0,0,0,0,0,0,0,1,0,0,0,00832-2012-00
60505-0212-03_RXNAVIMAGE10_7934BCC5_1.jpg,CAPSULE,"BLUE, GREEN",1,"CAPSULE_BLUE, GREEN",11,0,1,0,0,1,0,0,0,0,0,0,0,60505-0212-03
60505-0212-03_RXNAVIMAGE10_7934BCC5_2.jpg,CAPSULE,"BLUE, GREEN",1,"CAPSULE_BLUE, GREEN",11,0,1,0,0,1,0,0,0,0,0,0,0,60505-0212-03
00603-4210-32_RXNAVIMAGE10_15448AD4_1.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,00603-4210-32
00603-4210-32_RXNAVIMAGE10_15448AD4_2.jpg,OVAL,WHITE,7,OVAL_WHITE,139,0,0,0,0,0,0,0,0,0,0,1,0,00603-4210-32
31722-0270-90_RXNAVIMAGE10_56432B49_1.jpg,OVAL,BROWN,7,OVAL_BROWN,125,0,0,1,0,0,0,0,0,0,0,0,0,31722-0270-90
31722-0270-90_RXNAVIMAGE10_56432B49_2.jpg,OVAL,BROWN,7,OVAL_BROWN,125,0,0,1,0,0,0,0,0,0,0,0,0,31722-0270-90
00009-5012-01_RXNAVIMAGE10_8F15C7BE_1.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0,00009-5012-01
00009-5012-01_RXNAVIMAGE10_8F15C7BE_2.jpg,ROUND,WHITE,10,ROUND_WHITE,174,0,0,0,0,0,0,0,0,0,0,1,0,00009-5012-01
16714-0662-01_RXNAVIMAGE10_9E4D4F3A_1.jpg,CAPSULE,YELLOW,1,CAPSULE_YELLOW,94,0,0,0,0,0,0,0,0,0,0,0,1,16714-0662-01
