rximageFileName,is_synthetic,label_BLACK,label_BLUE,label_BROWN,label_GRAY,label_GREEN,label_ORANGE,label_PINK,label_PURPLE,label_RED,label_TURQUOISE,label_WHITE,label_YELLOW
51079-0145-20_RXNAVIMAGE10_11340890_1.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
51079-0145-20_RXNAVIMAGE10_11340890_2.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
00378-0722-19_RXNAVIMAGE10_3E241F00_1.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
00378-0722-19_RXNAVIMAGE10_3E241F00_2.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
00186-0016-54_RXNAVIMAGE10_F812FC37_1.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0
00186-0016-54_RXNAVIMAGE10_F812FC37_2.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0
00591-2880-01_RXNAVIMAGE10_1D3E8EB4_1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1
00591-2880-01_RXNAVIMAGE10_1D3E8EB4_2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1
00378-3857-77_RXNAVIMAGE10_FD1C7EE3_1.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
00378-3857-77_RXNAVIMAGE10_FD1C7EE3_2.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
23155-0064-01_RXNAVIMAGE10_C13C60B3_1.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
23155-0064-01_RXNAVIMAGE10_C13C60B3_2.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
00143-9803-50_RXNAVIMAGE10_1D458EBC_1.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0
00143-9803-50_RXNAVIMAGE10_1D458EBC_2.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0
00555-0872-02_RXNAVIMAGE10_7A36BD65_1.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
00555-0872-02_RXNAVIMAGE10_7A36BD65_2.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
43547-0279-50_RXNAVIMAGE10_5A3BAD4D_1.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
43547-0279-50_RXNAVIMAGE10_5A3BAD4D_2.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
65862-0013-05_RXNAVIMAGE10_22509114_1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1
65862-0013-05_RXNAVIMAGE10_22509114_2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1
51224-0154-50_RXNAVIMAGE10_BE49DF4E_1.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
51224-0154-50_RXNAVIMAGE10_BE49DF4E_2.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0
